fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
237,176.07,4.7,7.9,True,276735668,house,,0.4349,66.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735668, tag=house)"
239,175.25,3.3,12.3,True,158487887,garage,,0.4215,96.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=158487887, tag=garage)"
240,175.14,5.1,6.7,True,258636073,residential,,0.6887,84.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=258636073, tag=residential)"
244,170.88,5.7,10.5,True,276735674,house,,0.3918,59.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735674, tag=house)"
245,178.26,13.5,23.2,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (178.3 mp, H=13.5m)"
249,165.73,7.2,10.0,True,276735577,house,,0.4624,74.2,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735577, tag=house)"
251,164.83,5.8,8.7,True,276735512,house,,0.5906,90.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735512, tag=house)"
257,151.95,9.4,12.0,True,276735701,house,,0.3762,66.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735701, tag=house)"
259,149.31,4.4,12.1,True,310374388,residential,,0.4665,77.2,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=310374388, tag=residential)"
261,145.75,8.6,17.0,True,951910498,university,Centrul de consiliere și orientare în carieră,0.5501,80.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=951910498, tag=university)"
263,139.34,10.5,17.6,True,275157478,house,,0.5386,94.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157478, tag=house)"
266,136.55,6.4,16.6,True,1232848008,yes,,0.3271,91.8,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1232848008, tag=yes)"
267,133.19,6.0,9.4,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (133.2 mp, H=6.0m)"
268,132.63,12.4,15.2,True,275157469,university,"Facultatea de Medicină Veterinară, Facultatea de Zootehnie și Biotehnologii",0.0409,46.6,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157469, tag=university)"
269,132.4,4.4,9.1,True,1329098532,yes,,0.4163,93.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1329098532, tag=yes)"
270,130.7,7.3,9.3,True,275159828,yes,,0.4892,91.5,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159828, tag=yes)"
271,130.08,5.8,7.1,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (130.1 mp, H=5.8m)"
273,128.13,5.2,7.5,True,275159843,semidetached_house,,0.6476,93.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159843, tag=semidetached_house)"
274,128.07,3.9,7.4,True,276735618,house,,0.3691,60.8,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735618, tag=house)"
276,124.56,8.7,10.5,True,1190447504,yes,,0.2428,42.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1190447504, tag=yes)"
