ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),240,False,0.0000,0.000,0.000,0.000,0.00,175.14,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),243,False,0.0000,0.000,0.000,0.000,0.00,176.98,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),244,False,0.0000,0.000,0.000,0.000,0.00,170.88,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),245,False,0.0000,0.000,0.000,0.000,0.00,178.26,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),246,False,0.0000,0.000,0.000,0.000,0.00,170.48,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),249,False,0.0000,0.000,0.000,0.000,0.00,165.73,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),250,False,0.0000,0.000,0.000,0.000,0.00,165.31,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),251,False,0.0000,0.000,0.000,0.000,0.00,164.83,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),257,False,0.0000,0.000,0.000,0.000,0.00,151.95,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),259,False,0.0000,0.000,0.000,0.000,0.00,149.31,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),261,False,0.0000,0.000,0.000,0.000,0.00,145.75,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),263,False,0.0000,0.000,0.000,0.000,0.00,139.34,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),266,False,0.0000,0.000,0.000,0.000,0.00,136.55,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),267,False,0.0000,0.000,0.000,0.000,0.00,133.19,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),268,False,0.0000,0.000,0.000,0.000,0.00,132.63,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),269,False,0.0000,0.000,0.000,0.000,0.00,132.40,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),270,False,0.0000,0.000,0.000,0.000,0.00,130.70,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),271,False,0.0000,0.000,0.000,0.000,0.00,130.08,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),273,False,0.0000,0.000,0.000,0.000,0.00,128.13,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),274,False,0.0000,0.000,0.000,0.000,0.00,128.07,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),276,False,0.0000,0.000,0.000,0.000,0.00,124.56,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),277,False,0.0000,0.000,0.000,0.000,0.00,122.76,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),278,False,0.0000,0.000,0.000,0.000,0.00,121.77,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),281,False,0.0000,0.000,0.000,0.000,0.00,120.62,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),282,False,0.0000,0.000,0.000,0.000,0.00,115.83,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),284,False,0.0000,0.000,0.000,0.000,0.00,109.86,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),285,False,0.0000,0.000,0.000,0.000,0.00,109.56,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),289,False,0.0000,0.000,0.000,0.000,0.00,104.12,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),292,False,0.0000,0.000,0.000,0.000,0.00,96.35,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),293,False,0.0000,0.000,0.000,0.000,0.00,96.14,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),296,False,0.0000,0.000,0.000,0.000,0.00,91.41,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),297,False,0.0000,0.000,0.000,0.000,0.00,90.76,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),298,False,0.0000,0.000,0.000,0.000,0.00,87.54,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),299,False,0.0000,0.000,0.000,0.000,0.00,86.62,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),300,False,0.0000,0.000,0.000,0.000,0.00,82.78,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),301,False,0.0000,0.000,0.000,0.000,0.00,76.33,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),303,False,0.0000,0.000,0.000,0.000,0.00,67.33,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),304,False,0.0000,0.000,0.000,0.000,0.00,66.12,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),305,False,0.0000,0.000,0.000,0.000,0.00,66.03,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),307,False,0.0000,0.000,0.000,0.000,0.00,61.03,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),310,False,0.0000,0.000,0.000,0.000,0.00,49.70,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),311,False,0.0000,0.000,0.000,0.000,0.00,48.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),316,False,0.0000,0.000,0.000,0.000,0.00,41.40,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
