ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),LIDAR_058,False,0.0000,0.000,0.000,0.000,0.00,34.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_059,False,0.0000,0.000,0.000,0.000,0.00,244.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_060,False,0.0000,0.000,0.000,0.000,0.00,2650.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_061,False,0.0000,0.000,0.000,0.000,0.00,22.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_062,False,0.0000,0.000,0.000,0.000,0.00,870.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_063,False,0.0000,0.000,0.000,0.000,0.00,172.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_064,False,0.0000,0.000,0.000,0.000,0.00,33.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_065,False,0.0000,0.000,0.000,0.000,0.00,15.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_066,False,0.0000,0.000,0.000,0.000,0.00,56.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_067,False,0.0000,0.000,0.000,0.000,0.00,249.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_068,False,0.0000,0.000,0.000,0.000,0.00,59.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_069,False,0.0000,0.000,0.000,0.000,0.00,62.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_070,False,0.0000,0.000,0.000,0.000,0.00,35.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_071,False,0.0000,0.000,0.000,0.000,0.00,18.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_072,False,0.0000,0.000,0.000,0.000,0.00,20.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_073,False,0.0000,0.000,0.000,0.000,0.00,781.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_074,False,0.0000,0.000,0.000,0.000,0.00,162.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
